Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
5/14/2014,4,27,1,34,36
5/13/2014,7,29,11,39,1
5/12/2014,15,33,31,12,5
5/11/2014,29,33,37,22,32
5/10/2014,29,8,20,15,5
5/9/2014,22,17,4,27,36
5/8/2014,31,36,5,7,17
5/7/2014,13,12,9,21,23
5/6/2014,33,15,35,12,32
5/5/2014,6,19,26,28,15
5/4/2014,33,34,20,6,7
5/3/2014,33,29,24,36,2
5/2/2014,39,6,23,30,38
5/1/2014,8,5,39,21,11
4/30/2014,34,16,13,20,35
4/29/2014,35,21,9,33,27
4/28/2014,2,32,35,33,23
4/27/2014,20,16,39,13,28
4/26/2014,21,16,7,35,22
4/25/2014,1,38,36,30,3
4/24/2014,13,19,21,20,33
4/23/2014,33,9,13,34,15
4/22/2014,6,15,32,7,28
4/21/2014,7,2,32,4,9
4/20/2014,3,7,29,15,25
4/19/2014,33,3,10,20,38
4/18/2014,15,7,13,2,34
4/17/2014,37,2,13,25,10
4/16/2014,13,23,11,32,3
4/15/2014,21,37,19,1,17
4/14/2014,14,36,17,20,3
4/13/2014,11,4,22,29,36
4/12/2014,9,12,28,17,4
4/11/2014,30,8,16,11,28
4/10/2014,6,30,35,3,23
4/9/2014,21,13,20,36,18
4/8/2014,1,19,34,22,36
4/7/2014,15,1,23,22,5
4/6/2014,15,16,35,27,19
4/5/2014,33,24,35,19,26
4/4/2014,30,9,8,13,27
4/3/2014,23,13,32,6,17
4/2/2014,3,9,16,15,23
4/1/2014,21,27,38,28,35
3/31/2014,28,37,25,38,22
3/30/2014,2,13,31,17,39
3/29/2014,35,26,29,10,15
3/28/2014,14,35,28,34,24
3/27/2014,3,35,26,15,37
3/26/2014,37,31,10,35,5
3/25/2014,7,4,23,14,29
3/24/2014,38,8,4,39,28
3/23/2014,4,36,37,8,12
3/22/2014,27,36,9,14,21
3/21/2014,10,21,13,7,37
3/20/2014,30,25,5,13,24
3/19/2014,14,26,5,4,16
3/18/2014,13,35,29,1,36
3/17/2014,17,24,39,26,1
3/16/2014,24,16,9,11,7
3/15/2014,33,16,15,21,12
3/14/2014,20,26,30,36,31
3/13/2014,30,9,4,11,33
3/12/2014,26,4,39,1,28
3/11/2014,22,14,11,20,21
3/10/2014,29,35,10,27,39
3/9/2014,32,17,27,37,29
3/8/2014,24,18,11,33,12
3/7/2014,14,29,20,11,37
3/6/2014,26,2,16,7,6
3/5/2014,34,4,2,27,13
3/4/2014,2,28,8,16,9
3/3/2014,19,14,12,26,34
3/2/2014,36,3,37,19,31
3/1/2014,9,3,34,36,23
2/28/2014,37,33,9,35,18
2/27/2014,39,8,22,30,5
2/26/2014,28,15,39,37,9
2/25/2014,14,21,39,29,4
2/24/2014,31,20,14,16,25
2/23/2014,7,17,36,38,30
2/22/2014,31,16,34,29,2
2/21/2014,37,27,16,2,10
2/20/2014,10,2,14,27,16
2/19/2014,2,20,36,18,33
2/18/2014,19,24,12,13,8
2/17/2014,8,30,7,27,12
2/16/2014,27,15,17,18,36
2/15/2014,29,3,21,23,16
2/14/2014,1,36,38,35,28
2/13/2014,20,27,2,4,31
2/12/2014,33,18,7,17,15
2/11/2014,13,21,23,24,20
2/10/2014,23,26,7,12,20
2/9/2014,9,7,28,34,20
2/8/2014,27,21,25,20,9
2/7/2014,21,24,17,15,9
2/6/2014,20,27,17,24,10
2/5/2014,18,32,30,21,28
2/4/2014,31,4,35,23,19
2/3/2014,38,29,31,2,37
2/2/2014,2,12,35,26,32
2/1/2014,30,20,23,19,18
1/31/2014,28,27,23,13,3
1/30/2014,35,12,30,11,23
1/29/2014,25,32,17,1,20
1/28/2014,16,38,6,15,11
1/27/2014,15,17,6,9,20
1/26/2014,30,9,26,13,17
1/25/2014,27,34,7,17,12
1/24/2014,32,30,34,1,18
1/23/2014,28,10,38,35,27
1/22/2014,16,24,22,30,10
1/21/2014,25,32,29,26,38
1/20/2014,37,38,3,9,30
1/19/2014,35,6,19,5,16
1/18/2014,29,16,15,21,22
1/17/2014,38,23,11,5,14
1/16/2014,27,32,30,31,20
1/15/2014,4,30,6,33,36
1/14/2014,16,19,31,32,11
1/13/2014,28,2,34,21,4
1/12/2014,26,9,17,25,7
1/11/2014,17,35,22,37,15
1/10/2014,19,21,8,20,24
1/9/2014,13,1,16,34,12
1/8/2014,21,10,24,1,11
1/7/2014,38,21,19,6,24
1/6/2014,16,34,28,38,30
1/5/2014,36,5,10,39,11
1/4/2014,33,37,23,22,3
1/3/2014,8,34,15,9,26
1/2/2014,19,17,12,20,11
1/1/2014,31,18,5,22,14
12/31/2013,1,4,11,31,16
12/30/2013,38,14,4,29,35
12/29/2013,30,36,6,24,25
12/28/2013,38,18,19,37,10
12/27/2013,7,32,29,15,38
12/26/2013,6,19,7,30,18
12/25/2013,35,36,12,39,20
12/24/2013,27,5,18,13,28
12/23/2013,30,32,18,8,6
12/22/2013,4,23,27,6,5
12/21/2013,19,28,5,38,35
12/20/2013,5,26,24,36,19
12/19/2013,28,11,27,6,4
12/18/2013,30,33,3,21,31
12/17/2013,29,38,34,26,3
12/16/2013,26,3,24,33,12
12/15/2013,39,6,28,25,10
12/14/2013,31,21,1,23,2
12/13/2013,6,30,5,25,32
12/12/2013,18,13,30,12,33
12/11/2013,8,25,35,38,21
12/10/2013,17,32,31,25,26
12/9/2013,6,14,37,18,35
12/8/2013,23,27,37,2,26
12/7/2013,31,27,16,15,12
12/6/2013,13,36,35,12,19
12/5/2013,22,10,6,27,34
12/4/2013,15,35,24,38,12
12/3/2013,3,30,34,38,17
12/2/2013,29,37,3,8,28
12/1/2013,1,21,8,19,5
11/30/2013,8,16,5,36,17
11/29/2013,22,23,20,28,1
11/28/2013,20,35,19,34,14
11/27/2013,6,5,24,20,33
11/26/2013,34,19,39,17,7
11/25/2013,31,21,13,14,5
11/24/2013,15,34,16,11,39
11/23/2013,5,10,22,12,34
11/22/2013,22,35,7,6,37
11/21/2013,27,10,24,20,18
11/20/2013,16,4,27,5,25
11/19/2013,22,5,11,7,2
11/18/2013,27,4,13,11,34
11/17/2013,21,10,7,15,23
11/16/2013,32,37,31,21,25
11/15/2013,37,35,8,13,7
11/14/2013,29,25,19,39,12
11/13/2013,14,29,33,4,28
11/12/2013,34,21,24,1,10
11/11/2013,19,24,14,36,15
11/10/2013,19,27,11,22,17
11/9/2013,13,5,22,17,3
11/8/2013,16,5,36,24,20
11/7/2013,15,3,29,11,24
11/6/2013,37,21,17,9,36
11/5/2013,38,6,36,11,5
11/4/2013,16,2,7,19,15
11/3/2013,23,32,6,2,17
11/2/2013,21,38,36,12,22
11/1/2013,24,18,23,25,29
10/31/2013,12,14,24,28,2
10/30/2013,1,22,7,27,35
10/29/2013,21,36,11,6,32
10/28/2013,11,22,25,37,1
10/27/2013,20,28,29,39,1
10/26/2013,15,1,29,19,25
10/25/2013,7,6,25,30,29
10/24/2013,12,15,10,16,2
10/23/2013,18,5,25,28,19
10/22/2013,2,28,31,23,7
10/21/2013,19,31,34,15,2
10/20/2013,28,15,26,30,32
10/19/2013,24,14,19,37,4
10/18/2013,14,16,24,19,25
10/17/2013,2,29,37,26,19
10/16/2013,19,24,35,22,29
10/15/2013,28,15,4,19,33
10/14/2013,33,9,11,35,32
10/13/2013,21,3,4,22,20
10/12/2013,17,10,3,34,2
10/11/2013,5,24,2,6,28
10/10/2013,18,6,38,30,34
10/9/2013,27,19,2,11,31
10/8/2013,36,26,7,8,30
10/7/2013,26,10,25,9,35
10/6/2013,10,27,29,22,38
10/5/2013,10,2,27,14,24
10/4/2013,38,17,11,29,31
10/3/2013,11,8,25,37,13
10/2/2013,27,20,4,33,11
10/1/2013,26,12,2,14,29
9/30/2013,28,36,15,13,19
9/29/2013,15,26,30,22,37
9/28/2013,35,7,38,10,39
9/27/2013,9,18,38,1,39
9/26/2013,14,6,22,30,37
9/25/2013,30,1,7,29,23
9/24/2013,8,38,15,37,9
9/23/2013,37,36,27,7,19
9/22/2013,28,11,29,12,32
9/21/2013,15,4,9,27,12
9/20/2013,35,13,2,10,7
9/19/2013,30,27,9,22,32
9/18/2013,25,20,27,3,19
9/17/2013,1,29,21,16,25
9/16/2013,15,3,38,26,8
9/15/2013,25,30,36,18,8
9/14/2013,38,19,3,4,11
